/Texture sheet to use;
> 0

/Setting up scene data;
0 | 2560, 2560, 2560 | 0, 0, 0 | 06/05/04
1 | 0, 0, 0 | 0, 0, 0 | F:F:F:F:F
3 | 10, -1, -10 | -10, -1, -10 | -10, -1, 10 | 10, -1, 10 | 03

/Model Data;
4 | 9.902455, 0.490393, -4.9 | 10.0, 0.5, -5.1 | 9.902455, 0.490393, -5.1 | F | FF
4 | 10.070198, 0.352911, -5.128125 | 10.181728, 0.438731, -5.128125 | 10.137699, 0.332435, -5.128125 | F | FF
4 | 10.137699, 0.332435, -5.128125 | 10.263829, 0.394847, -5.128125 | 10.199908, 0.299184, -5.128125 | F | FF
4 | 10.254435, 0.254435, -5.128125 | 10.263829, 0.394847, -5.128125 | 10.33579, 0.33579, -5.128125 | F | FF
4 | 10.254435, 0.254435, -5.128125 | 10.394847, 0.263829, -5.128125 | 10.299184, 0.199908, -5.128125 | F | FF
4 | 10.299184, 0.199908, -5.128125 | 10.438731, 0.181728, -5.128125 | 10.332435, 0.137699, -5.128125 | F | FF
4 | 10.352911, 0.070198, -5.128125 | 10.438731, 0.181728, -5.128125 | 10.465754, 0.092644, -5.128125 | F | FF
4 | 10.352911, 0.070198, -5.128125 | 10.474879, 0.0, -5.128125 | 10.359825, 0.0, -5.128125 | F | FF
4 | 10.359825, 0.0, -5.128125 | 10.465754, -0.092644, -5.128125 | 10.352911, -0.070198, -5.128125 | F | FF
4 | 10.352911, -0.070198, -5.128125 | 10.438731, -0.181728, -5.128125 | 10.332435, -0.137699, -5.128125 | F | FF
4 | 10.332435, -0.137699, -5.128125 | 10.394847, -0.263829, -5.128125 | 10.299184, -0.199908, -5.128125 | F | FF
4 | 10.254435, -0.254435, -5.128125 | 10.394847, -0.263829, -5.128125 | 10.33579, -0.33579, -5.128125 | F | FF
4 | 10.254435, -0.254435, -5.128125 | 10.263829, -0.394847, -5.128125 | 10.199908, -0.299184, -5.128125 | F | FF
4 | 10.199908, -0.299184, -5.128125 | 10.181728, -0.438731, -5.128125 | 10.137699, -0.332435, -5.128125 | F | FF
4 | 10.070198, -0.352911, -5.128125 | 10.181728, -0.438731, -5.128125 | 10.092644, -0.465754, -5.128125 | F | FF
4 | 10.070198, -0.352911, -5.128125 | 10.0, -0.474879, -5.128125 | 10.0, -0.359825, -5.128125 | F | FF
4 | 10.0, -0.359825, -5.128125 | 9.907356, -0.465754, -5.128125 | 9.929802, -0.352911, -5.128125 | F | FF
4 | 9.929802, -0.352911, -5.128125 | 9.818272, -0.438731, -5.128125 | 9.862301, -0.332435, -5.128125 | F | FF
4 | 9.862301, -0.332435, -5.128125 | 9.736171, -0.394847, -5.128125 | 9.800092, -0.299184, -5.128125 | F | FF
4 | 9.745565, -0.254435, -5.128125 | 9.736171, -0.394847, -5.128125 | 9.66421, -0.33579, -5.128125 | F | FF
