CMDLINE C:\Python310\python.exe main.py
MEM 1.687500 1723477389.7658
MEM 25.269531 1723477389.8678
MEM 43.476562 1723477389.9798
MEM 54.152344 1723477390.0898
MEM 62.929688 1723477390.1994
MEM 62.929688 1723477390.3104
MEM 62.929688 1723477390.4192
MEM 62.929688 1723477390.5283
MEM 62.929688 1723477390.6356
MEM 62.929688 1723477390.7437
MEM 64.023438 1723477390.8514
MEM 109.906250 1723477390.9610
MEM 223.089844 1723477391.0708
MEM 405.859375 1723477391.1810
MEM 413.007812 1723477391.2915
MEM 413.941406 1723477391.4008
MEM 413.976562 1723477391.5105
MEM 414.023438 1723477391.6194
MEM 414.046875 1723477391.7295
MEM 414.078125 1723477391.8383
MEM 414.113281 1723477391.9468
MEM 414.136719 1723477392.0568
MEM 414.167969 1723477392.1648
MEM 414.703125 1723477392.2767
MEM 414.730469 1723477392.3873
MEM 414.765625 1723477392.4965
MEM 414.792969 1723477392.6054
MEM 414.828125 1723477392.7155
MEM 414.867188 1723477392.8243
MEM 414.984375 1723477392.9333
MEM 415.023438 1723477393.0404
MEM 415.050781 1723477393.1502
MEM 415.082031 1723477393.2581
MEM 415.121094 1723477393.3679
MEM 415.164062 1723477393.4775
MEM 415.226562 1723477393.5864
MEM 415.261719 1723477393.6953
MEM 415.300781 1723477393.8056
MEM 415.320312 1723477393.9166
MEM 415.339844 1723477394.0250
MEM 415.363281 1723477394.1331
MEM 413.992188 1723477394.2444
MEM 414.027344 1723477394.3551
MEM 414.050781 1723477394.4644
MEM 414.738281 1723477394.5710
MEM 414.355469 1723477394.6800
MEM 414.355469 1723477394.7910
MEM 414.871094 1723477394.9010
MEM 415.761719 1723477395.0090
MEM 415.777344 1723477395.1180
MEM 415.789062 1723477395.2270
MEM 415.804688 1723477395.3333
MEM 415.804688 1723477395.4414
MEM 414.917969 1723477395.5506
MEM 414.914062 1723477395.6583
MEM 414.914062 1723477395.7674
MEM 414.917969 1723477395.8774
MEM 414.921875 1723477395.9878
MEM 414.929688 1723477396.0978
MEM 414.945312 1723477396.2071
MEM 414.941406 1723477396.3158
MEM 414.941406 1723477396.4274
MEM 414.941406 1723477396.5394
MEM 414.949219 1723477396.6514
MEM 414.968750 1723477396.7614
MEM 415.035156 1723477396.8706
MEM 415.035156 1723477396.9800
MEM 415.035156 1723477397.0896
MEM 415.039062 1723477397.1995
MEM 415.039062 1723477397.3097
MEM 415.042969 1723477397.4188
MEM 415.046875 1723477397.5294
MEM 415.058594 1723477397.6397
MEM 415.062500 1723477397.7504
MEM 415.945312 1723477397.8604
MEM 415.945312 1723477397.9704
MEM 407.929688 1723477398.0804
MEM 407.933594 1723477398.1924
MEM 407.953125 1723477398.3024
MEM 407.957031 1723477398.4134
MEM 407.964844 1723477398.5254
MEM 407.968750 1723477398.6373
MEM 407.968750 1723477398.7493
MEM 407.968750 1723477398.8574
MEM 407.968750 1723477398.9664
MEM 407.972656 1723477399.0769
MEM 407.976562 1723477399.1861
MEM 407.988281 1723477399.2957
MEM 407.988281 1723477399.4070
MEM 407.988281 1723477399.5158
MEM 407.101562 1723477399.6273
MEM 407.996094 1723477399.7362
MEM 407.105469 1723477399.8468
MEM 404.621094 1723477399.9583
MEM 404.625000 1723477400.0683
MEM 404.628906 1723477400.1784
MEM 403.769531 1723477400.2894
MEM 404.511719 1723477400.3980
MEM 404.664062 1723477400.5082
MEM 404.664062 1723477400.6166
MEM 404.667969 1723477400.7254
MEM 404.667969 1723477400.8362
MEM 403.781250 1723477400.9462
MEM 404.667969 1723477401.0582
MEM 404.667969 1723477401.1663
MEM 403.781250 1723477401.2783
MEM 403.785156 1723477401.3877
MEM 404.675781 1723477401.4992
MEM 404.675781 1723477401.6092
MEM 403.792969 1723477401.7183
MEM 404.679688 1723477401.8292
MEM 404.679688 1723477401.9412
MEM 403.792969 1723477402.0513
MEM 404.679688 1723477402.1623
MEM 404.566406 1723477402.2733
MEM 404.664062 1723477402.3816
MEM 404.671875 1723477402.4916
MEM 404.675781 1723477402.6006
MEM 403.789062 1723477402.7113
MEM 404.675781 1723477402.8217
MEM 404.679688 1723477402.9333
MEM 404.679688 1723477403.0428
MEM 403.792969 1723477403.1549
MEM 404.476562 1723477403.2649
MEM 404.480469 1723477403.3769
MEM 403.593750 1723477403.4879
MEM 404.484375 1723477403.5973
MEM 404.484375 1723477403.7073
MEM 404.488281 1723477403.8171
MEM 404.488281 1723477403.9272
MEM 403.601562 1723477404.0372
MEM 404.488281 1723477404.1441
MEM 404.488281 1723477404.2523
MEM 403.605469 1723477404.3643
MEM 404.488281 1723477404.4735
MEM 404.488281 1723477404.5819
MEM 404.496094 1723477404.6917
MEM 404.500000 1723477404.8002
MEM 404.500000 1723477404.9092
MEM 404.500000 1723477405.0182
